Year,Ward,CountCrime
2001,28,244
2001,24,221
2001,27,180
2001,42,138
2001,17,136
2001,2,133
2001,37,132
2001,3,112
2001,6,105
2001,7,104
2001,29,104
2001,8,103
2001,26,101
2001,21,101
2001,5,99
2001,20,95
2001,9,92
2001,15,92
2001,30,90
2001,16,90
2001,35,89
2001,34,87
2001,31,78
2001,1,75
2001,4,71
2001,18,63
2001,23,61
2001,14,60
2001,32,59
2001,12,59
2001,10,58
2001,25,58
2001,48,56
2001,49,55
2001,22,54
2001,46,53
2001,13,53
2001,36,50
2001,11,50
2001,33,49
2001,43,48
2001,38,48
2001,39,48
2001,41,47
2001,40,44
2001,47,41
2001,19,38
2001,45,37
2001,44,33
2001,50,32
2002,2,14301
2002,28,13995
2002,3,13701
2002,27,13697
2002,42,12964
2002,24,12483
2002,20,11707
2002,17,10830
2002,16,10762
2002,21,10079
2002,6,9969
2002,15,9693
2002,34,9405
2002,37,9062
2002,9,8822
2002,7,8695
2002,8,8603
2002,1,8321
2002,5,8120
2002,29,7390
2002,4,7382
2002,26,7066
2002,32,6983
2002,10,5790
2002,35,5616
2002,49,5534
2002,18,5334
2002,23,5326
2002,11,5267
2002,46,5186
2002,31,5090
2002,30,5029
2002,25,4859
2002,43,4604
2002,13,4595
2002,14,4567
2002,44,4498
2002,12,4212
2002,47,4015
2002,38,4003
2002,48,3939
2002,22,3859
2002,40,3806
2002,36,3745
2002,33,3713
2002,45,3611
2002,19,3506
2002,41,3396
2002,50,3366
2002,39,3133
2003,28,20813
2003,2,20087
2003,3,18524
2003,27,17809
2003,24,16752
2003,42,16397
2003,20,16184
2003,17,14601
2003,16,14471
2003,6,14007
2003,21,13479
2003,15,13077
2003,37,12918
2003,34,12341
2003,8,12062
2003,7,11862
2003,9,11608
2003,5,10972
2003,29,10948
2003,1,10357
2003,26,9930
2003,4,9245
2003,32,8846
2003,10,8184
2003,35,7183
2003,30,7102
2003,18,7040
2003,31,7008
2003,11,6997
2003,49,6962
2003,23,6794
2003,25,6792
2003,46,6617
2003,14,6411
2003,13,5976
2003,44,5965
2003,43,5825
2003,12,5789
2003,38,5410
2003,47,5288
2003,36,5179
2003,22,5127
2003,48,4932
2003,45,4905
2003,33,4859
2003,40,4784
2003,41,4548
2003,19,4365
2003,50,4318
2003,39,4267
2004,28,20897
2004,2,19016
2004,27,17814
2004,24,17616
2004,3,17184
2004,20,16231
2004,42,16192
2004,17,14993
2004,6,14717
2004,21,13874
2004,16,13850
2004,34,13438
2004,15,12990
2004,37,12414
2004,8,12270
2004,7,12015
2004,9,11520
2004,5,11226
2004,29,10634
2004,1,9595
2004,4,9482
2004,26,8888
2004,32,8034
2004,10,7916
2004,18,7484
2004,35,6962
2004,49,6946
2004,11,6756
2004,23,6704
2004,30,6687
2004,31,6612
2004,46,6606
2004,25,6600
2004,14,6047
2004,13,5982
2004,44,5932
2004,12,5761
2004,43,5758
2004,22,5217
2004,47,5067
2004,48,5047
2004,40,4821
2004,38,4819
2004,50,4755
2004,36,4590
2004,45,4545
2004,33,4492
2004,41,4201
2004,19,4183
2004,39,3978
2005,28,20632
2005,2,17694
2005,27,17585
2005,24,17102
2005,3,16177
2005,20,15908
2005,17,14956
2005,42,14856
2005,6,14488
2005,16,13762
2005,21,13579
2005,34,13243
2005,15,12593
2005,37,12238
2005,8,11804
2005,7,11590
2005,9,11229
2005,5,11196
2005,29,10064
2005,4,9508
