ward,Crime,Arrest,Percentage
1,118575,9998,8.431794223
2,237177,7454,3.142800525
3,187494,7338,3.913725239
4,113048,3079,2.723621824
5,145839,1840,1.261665261
6,197270,5273,2.672986262
7,162557,2962,1.822130084
8,163974,8525,5.198994963
9,154092,922,0.598343847
10,105008,3021,2.876923663
11,842268,3262,0.387287657
12,74411,1126,1.513217132
13,78407,1772,2.260002296
14,83826,7136,8.512871901
15,170344,10520,6.175738506
16,175708,8736,4.971885173
17,204241,5178,2.535240231
18,103270,2291,2.218456473
19,54551,16040,29.40367729
20,202328,6017,2.97388399
21,184381,7043,3.819807898
22,70439,14146,20.08262468
23,80380,28699,35.70415526
24,240361,14323,5.958953408
25,83571,61412,73.48482129
26,105251,16206,15.39747841
27,221505,17010,7.679284892
28,279133,14386,5.153815565
29,141645,28561,20.16378976
30,86232,12988,15.06169403
31,85980,6228,7.24354501
32,105339,4103,3.895043621
33,61024,3326,5.45031463
34,172665,1595,0.92375409
35,81819,6647,8.124029871
36,63539,2716,4.274540046
37,163925,2219,1.353667836
38,65706,10354,15.75807384
39,57290,5679,9.912724734
40,63384,10199,16.09081156
41,63440,3998,6.302017654
42,245097,18052,7.365247229
43,77972,37382,47.94285128
44,83998,22302,26.55063216
45,62075,3964,6.3858236
46,81819,16633,20.32901893
47,63586,1354,2.129399553
48,60643,4291,7.075837277
49,86077,27319,31.73786261
50,62342,3909,6.270251195
