month,crime_type,crime_count
1,THEFT,108184
1,BATTERY,88525
1,NARCOTICS,62499
1,CRIMINAL DAMAGE,55567
1,OTHER OFFENSE,37164
1,OTHERS,176172
2,THEFT,90910
2,BATTERY,81672
2,NARCOTICS,60369
2,CRIMINAL DAMAGE,48955
2,OTHER OFFENSE,33830
2,OTHERS,147981
3,THEFT,108792
3,BATTERY,103783
3,NARCOTICS,65625
3,CRIMINAL DAMAGE,64066
3,OTHER OFFENSE,38101
3,OTHERS,176886
4,THEFT,111729
4,BATTERY,105368
4,CRIMINAL DAMAGE,67061
4,NARCOTICS,60502
4,OTHER OFFENSE,36852
4,OTHERS,177348
5,THEFT,121383
5,BATTERY,119794
5,CRIMINAL DAMAGE,70225
5,NARCOTICS,60412
5,ASSAULT,41133
5,OTHERS,189853
6,THEFT,126063
6,BATTERY,119528
6,CRIMINAL DAMAGE,69287
6,NARCOTICS,56455
6,ASSAULT,39602
6,OTHER OFFENSE,188852
7,THEFT,139652
7,BATTERY,120146
7,CRIMINAL DAMAGE,73234
7,NARCOTICS,59211
7,ASSAULT,40151
7,OTHERS,197790
8,THEFT,139680
8,BATTERY,112541
8,CRIMINAL DAMAGE,71734
8,NARCOTICS,61432
8,ASSAULT,38911
8,OTHERS,199753
9,THEFT,127330
9,BATTERY,107014
9,CRIMINAL DAMAGE,66002
9,NARCOTICS,58298
9,ASSAULT,37992
9,OTHERS,188328
10,THEFT,126591
10,BATTERY,102922
10,CRIMINAL DAMAGE,69675
10,NARCOTICS,58845
10,BURGLARY,36262
10,OTHERS,190844
11,THEFT,109655
11,BATTERY,86446
11,CRIMINAL DAMAGE,61171
11,NARCOTICS,55613
11,BURGLARY,33303
11,OTHERS,166697
12,THEFT,104317
12,BATTERY,81773
12,CRIMINAL DAMAGE,52941
12,NARCOTICS,50725
12,BURGLARY,31875
12,OTHERS,161058
