ward,Primary_type,cnt
1,THEFT,21283
1,BATTERY,17783
1,CRIMINAL DAMAGE,11208
1,NARCOTICS,9600
1,OTHER OFFENSE,6626
1,OTHERS,31073
2,THEFT,21316
2,BATTERY,15301
2,CRIMINAL DAMAGE,12028
2,OTHER OFFENSE,6002
2,BURGLARY,5922
2,OTHERS,26010
3,THEFT,22557
3,BATTERY,17635
3,NARCOTICS,10745
3,CRIMINAL DAMAGE,8665
3,ASSAULT,6726
3,OTHERS,31879
4,THEFT,13750
4,BATTERY,11583
4,CRIMINAL DAMAGE,6847
4,MOTOR VEHICLE THEFT,5489
4,ASSAULT,4667
4,OTHERS,17459
5,THEFT,12787
5,BATTERY,7841
5,CRIMINAL DAMAGE,5475
5,MOTOR VEHICLE THEFT,3974
5,BURGLARY,3700
5,OTHERS,15105
6,THEFT,45864
6,BATTERY,17633
6,CRIMINAL DAMAGE,12955
6,DECEPTIVE PRACTICE,9578
6,BURGLARY,9422
6,OTHERS,36298
7,THEFT,43786
7,BATTERY,12313
7,CRIMINAL DAMAGE,11937
7,BURGLARY,7508
7,DECEPTIVE PRACTICE,6361
7,OTHERS,23042
8,THEFT,88161
8,BATTERY,30625
8,DECEPTIVE PRACTICE,20212
8,CRIMINAL DAMAGE,14473
8,CRIMINAL TRESPASS,12675
8,OTHERS,54903
9,BATTERY,3398
9,THEFT,2499
9,CRIMINAL DAMAGE,1828
9,ASSAULT,1441
9,MOTOR VEHICLE THEFT,1057
9,OTHERS,3961
10,THEFT,7893
10,BATTERY,5845
10,CRIMINAL DAMAGE,5365
10,MOTOR VEHICLE THEFT,3043
10,ASSAULT,2696
10,OTHERS,9813
11,BATTERY,7822
11,THEFT,7394
11,CRIMINAL DAMAGE,4642
11,ASSAULT,3526
11,MOTOR VEHICLE THEFT,2786
11,OTHERS,10608
12,BATTERY,5468
12,THEFT,5384
12,MOTOR VEHICLE THEFT,3495
12,CRIMINAL DAMAGE,2932
12,ASSAULT,2430
12,OTHERS,6937
13,THEFT,5518
13,CRIMINAL DAMAGE,2838
13,BATTERY,2231
13,BURGLARY,1903
13,OTHER OFFENSE,1311
13,OTHERS,5260
14,THEFT,11508
14,BATTERY,11132
14,CRIMINAL DAMAGE,8051
14,MOTOR VEHICLE THEFT,4327
14,OTHER OFFENSE,3961
14,OTHERS,19290
15,THEFT,18566
15,BATTERY,14301
15,CRIMINAL DAMAGE,12014
15,OTHER OFFENSE,6739
15,NARCOTICS,5366
15,OTHERS,26344
16,THEFT,16260
16,BATTERY,12421
16,CRIMINAL DAMAGE,11277
16,MOTOR VEHICLE THEFT,5921
16,BURGLARY,5616
16,OTHERS,21767
17,THEFT,9392
